Channel_Name,Channel_Type,Rx_Frequency,Tx_Frequency,Bandwidth_kHz,State,RX_Tone,TX_Tone,Latitude,Longitude,Special
WB8ULC Lima,Analogue,146.67,146.07,25,OH,118.8,,40.76842073,-84.15925787,SKYWARN
K8HO Greenfield,Analogue,146.685,146.085,25,OH,,118.8,39.35200119,-83.38269806,
KC8EPF New Riege,Analogue,146.685,146.085,25,OH,,,41.071656,-83.338005,
K8BLP East Liver,Analogue,146.7,146.1,25,OH,,162.2,40.61869812,-80.57730103,
W8WRK Fairfield,Analogue,146.7,146.1,25,OH,,123,39.29980087,-84.57350159,
K8QIK Lancaster,Analogue,146.7,146.1,25,OH,,94.8,39.71369934,-82.59929657,
K8KRG Elyria,Analogue,146.7,146.1,25,OH,110.9,110.9,41.36840057,-82.10769653,
W8FY Van Wert,Analogue,146.7,146.1,25,OH,,107.2,40.86949921,-84.58409882,
KD8SQ Orrville,Analogue,146.715,146.115,25,OH,,,40.84370041,-81.76399994,
W8MCB Ottawa,Analogue,146.715,146.115,25,OH,107.2,107.2,41.01919937,-84.04720306,
W8SOE South Poin,Analogue,146.715,146.115,25,OH,,103.5,38.423416,-82.536583,
K8CY Jefferson,Analogue,146.715,146.115,25,OH,,141.3,41.73870087,-80.76979828,
N8COZ Middletown,Analogue,146.715,146.115,25,OH,,,39.51509857,-84.39830017,
W8ZX Stone Creek,Analogue,146.73,146.13,25,OH,,71.9,40.38460159,-81.51869965,SKYWARN
N1DJS Georgetown,Analogue,146.73,146.13,25,OH,162.2,162.2,38.8645138,-83.9040944,
W8OG Springfield,Analogue,146.73,146.13,25,OH,77,77,39.92419815,-83.80879974,SKYWARN
K8ATG Gallipolis,Analogue,146.73,146.13,25,OH,91.5,91.5,38.84540176,-82.1792984,
W8QLY Youngstown,Analogue,146.745,146.145,25,OH,110.9,110.9,41.09980011,-80.64949799,
W8AOH Lima,Analogue,146.745,147.345,25,OH,,100,40.663815,-84.085887,SKYWARN
W3YXS Loudonvill,Analogue,146.745,146.145,25,OH,,71.9,40.63219833,-82.24710083,SKYWARN
WR8ABC Highland,Analogue,146.76,146.16,25,OH,110.9,110.9,41.44839859,-81.51899719,SKYWARN
W8AIC Columbus,Analogue,146.76,146.16,25,OH,123,123,39.96120071,-82.99880219,SKYWARN
W8GMM East Pales,Analogue,146.775,146.175,25,OH,,162.2,40.8678288,-80.5654703,
KD3WCO Dayton,Analogue,146.775,146.175,25,OH,,77,39.72133059,-84.249972,
W8NL Mount Gilea,Analogue,146.775,146.175,25,OH,,107.2,40.54919815,-82.82740021,
W8AL Canton,Analogue,146.79,146.19,25,OH,141.3,141.3,40.83409882,-81.38490295,
WB8LDB Jackson,Analogue,146.79,146.19,25,OH,74.4,74.4,39.0444,-82.4223,
W8FLH Greenville,Analogue,146.79,146.19,25,OH,94.8,94.8,40.068023,-84.627509,SKYWARN
KD8BTI Bowling G,Analogue,146.79,146.19,25,OH,,103.5,41.37480164,-83.65129852,
N8APU South Eucl,Analogue,146.79,146.19,25,OH,88.5,88.5,41.52310181,-81.51850128,
K8EEN Mount Vern,Analogue,146.79,146.19,25,OH,71.9,71.9,40.410181,-82.474872,SKYWARN
K8GQB Lisbon,Analogue,146.805,146.205,25,OH,162.2,162.2,40.75,-80.77300262,SKYWARN
WB8LLY Berlin Ht,Analogue,146.805,146.205,25,OH,110.9,110.9,41.32529831,-82.49320221,
W8GZ Saint Marys,Analogue,146.805,146.205,25,OH,,107.2,40.5442009,-84.38999939,
K8ZFR Parma,Analogue,146.82,146.22,25,OH,110.9,110.9,41.40480042,-81.72290039,
WA8PLZ Dayton,Analogue,146.82,146.22,25,OH,77,77,39.75889969,-84.19159698,
KA8OFE Bryan,Analogue,146.82,146.22,25,OH,107.2,107.2,41.47480011,-84.55249786,SKYWARN
KB8ZMI Thornvill,Analogue,146.835,146.235,25,OH,91.5,91.5,39.960281,-82.377519,
K8ZUK Maplewood,Analogue,146.835,146.235,25,OH,156.7,156.7,40.39820099,-84.07250214,SKYWARN
N8DOD Warren,Analogue,146.835,146.235,25,OH,,131.8,41.23759842,-80.81839752,
W8HHF Toledo,Analogue,146.835,146.235,25,OH,,103.5,41.66389847,-83.55519867,SKYWARN
K8YOJ Cincinnati,Analogue,146.85,146.25,25,OH,123,123,39.07362369,-84.33514652,
W8VP Cambridge,Analogue,146.85,146.25,25,OH,,91.5,40.03120041,-81.58850098,
W8LYD Newbury,Analogue,146.85,146.25,25,OH,,110.9,41.46369934,-81.29360199,
W8BAE Galion,Analogue,146.85,146.25,25,OH,,71.9,40.7336998,-82.78990173,
W8BAP Chillicoth,Analogue,146.85,146.25,25,OH,74.4,74.4,39.21979904,-82.97489929,
W8FY Middle Poin,Analogue,146.85,146.25,25,OH,,,40.85559845,-84.44719696,SKYWARN
AC8AP Willard,Analogue,146.865,146.265,25,OH,110.9,110.9,41.13990021,-82.67060089,
KB8MFV Salem,Analogue,146.865,146.265,25,OH,,110.9,40.90090179,-80.85679626,
KC8LOE Pomeroy,Analogue,146.865,146.265,25,OH,88.5,88.5,39.03580093,-82.04709625,
WC8EMA Lebanon,Analogue,146.865,146.265,25,OH,118.8,118.8,39.43529892,-84.20300293,SKYWARN
WB8CRS Cincinnat,Analogue,146.88,146.28,25,OH,123,123,39.1460877,-84.5125085,SKYWARN
W8HH Marietta,Analogue,146.88,146.28,25,OH,91.5,91.5,39.41540146,-81.45480347,
N8ARA Newark,Analogue,146.88,146.28,25,OH,141.3,141.3,40.089607,-82.407156,SKYWARN
WR8ABC Lakewood,Analogue,146.88,146.28,25,OH,110.9,110.9,41.49950027,-81.69539642,SKYWARN
W8DRH Marion,Analogue,146.895,146.295,25,OH,,250.3,40.58869934,-83.12850189,
K8IV Kent,Analogue,146.895,146.295,25,OH,,118.8,41.14910126,-81.34369659,
KD8XL Oak Hill,Analogue,146.895,146.295,25,OH,,74.4,39.18489838,-82.69550323,
W8GCA Bellbrook,Analogue,146.91,146.31,25,OH,,,39.65999985,-84.05999756,
W8IZC Youngstown,Analogue,146.91,146.31,25,OH,,110.9,41.05730057,-80.6391983,
W8BAP Bainbridge,Analogue,146.925,146.325,25,OH,74.4,74.4,39.28210068,-83.15609741,
W8ZX Sugarcreek,Analogue,146.925,146.325,25,OH,,71.9,40.50310135,-81.64099884,
K8SCH Cincinnati,Analogue,146.925,146.325,25,OH,123,123,39.096985,-84.604674,
W8BI Dayton,Analogue,146.94,146.34,25,OH,123,123,39.75889969,-84.19159698,
W8DES Chardon,Analogue,146.94,146.34,25,OH,110.9,110.9,41.5055,-81.1902,
W8WE Mansfield,Analogue,146.94,146.34,25,OH,71.9,71.9,40.75839996,-82.51540375,SKYWARN
N8LPQ Toledo,Analogue,146.94,146.34,25,OH,103.5,103.5,41.65696503,-83.55236078,SKYWARN
WB8HHP Navarre,Analogue,146.955,146.355,25,OH,110.9,110.9,40.72439,-81.5225,
AB8DD Urbana,Analogue,146.955,146.355,25,OH,,100,40.10839844,-83.75240326,
W8VTD Warren,Analogue,146.97,146.37,25,OH,,100,41.23759842,-80.81839752,
W8RRJ Columbus,Analogue,146.97,146.37,25,OH,123,123,39.96120071,-82.99880219,
W8CCI Hamilton,Analogue,146.97,146.37,25,OH,118.8,118.8,39.3995018,-84.56130219,
W8PAR Belpre,Analogue,146.97,146.37,25,OH,91.5,91.5,39.27399826,-81.57289886,
N8DXE Tallmadge,Analogue,146.985,146.385,12.5,OH,110.9,110.9,41.10100174,-81.44100189,
WF8M Dayton,Analogue,146.985,146.385,25,OH,,123,39.75889969,-84.19159698,
W8FTV Bellefonta,Analogue,147,147.6,25,OH,100,100,40.36119843,-83.75969696,
KB8ZMI Cambridge,Analogue,147,147.6,25,OH,,91.5,40.03120041,-81.58850098,
KB8N Youngstown,Analogue,147,147.6,25,OH,,,41.09980011,-80.64949799,
K8GE Cherry Fork,Analogue,147,147.6,25,OH,,94.8,38.8556,-83.61,
W8WRK Hamilton,Analogue,147,147.6,25,OH,,123,39.40579987,-84.49130249,
W8OKE Newbury,Analogue,147.015,147.615,25,OH,110.9,110.9,41.4645,-81.2868,SKYWARN
W8NCI Miamisburg,Analogue,147.015,147.615,25,OH,,77,39.64279938,-84.28659821,
N8YOA Lexington,Analogue,147.015,147.615,25,OH,,71.9,40.6867981,-82.6344986,
KD8SPV Londonder,Analogue,147.015,147.615,25,OH,74.4,74.4,39.2892,-82.8087,
K8QIK Lancaster,Analogue,147.03,147.63,25,OH,,71.9,39.71369934,-82.59929657,
W8EOC Brunswick,Analogue,147.03,147.63,25,OH,,131.8,41.23809814,-81.84179688,
W8EOC Medina,Analogue,147.03,147.63,25,OH,88.5,141.3,41.13840103,-81.86370087,
K8TCF Lima,Analogue,147.03,147.63,25,OH,,,40.663782,-84.085879,
W8DGN Bellbrook,Analogue,147.045,147.645,25,OH,118.8,118.8,39.63560104,-84.07080078,SKYWARN
W8CCA Keene,Analogue,147.045,147.645,25,OH,,71.9,40.3451004,-81.86820221,
N8NVI Vienna,Analogue,147.045,147.645,25,OH,,141.3,41.23770142,-80.66390228,
K8DDG Columbus,Analogue,147.06,147.66,25,OH,94.8,94.8,39.96120071,-82.99880219,
WR8ANN Bainbridg,Analogue,147.06,147.66,25,OH,,110.9,41.39339828,-81.33719635,
KC8ZAB Gallipoli,Analogue,147.06,147.66,25,OH,,74.4,38.80979919,-82.20240021,
WD8IIJ Steubenvi,Analogue,147.06,147.66,12.5,OH,,114.8,40.34249878,-80.62059784,
W8YX Cincinnati,Analogue,147.06,147.66,25,OH,100,100,39.10309982,-84.51200104,
K8VXH Oak Harbor,Analogue,147.075,147.675,25,OH,,100,41.50669861,-83.14659882,SKYWARN
K8VPJ Malvern,Analogue,147.075,147.675,25,OH,131.8,131.8,40.69169998,-81.18119812,
K8VON Defiance,Analogue,147.09,147.69,25,OH,107.2,123,41.28450012,-84.35579681,SKYWARN
WB8OVQ Barberton,Analogue,147.09,147.69,25,OH,110.9,110.9,41.01279831,-81.60510254,
KB8VUL Johnstown,Analogue,147.09,147.69,25,OH,94.8,94.8,40.155841,-82.6142,
N8GZE Cortland,Analogue,147.105,147.705,25,OH,,114.8,41.33029938,-80.72540283,
W8VCO McArthur,Analogue,147.105,147.705,25,OH,,88.5,39.24649811,-82.47850037,
N8IHI Widowville,Analogue,147.105,147.705,25,OH,71.9,71.9,40.7495019,-82.3165503,
W8GO Wilmington,Analogue,147.12,147.72,25,OH,123,123,39.44530106,-83.82849884,
W8YEK Delphos,Analogue,147.12,147.72,25,OH,,,40.84339905,-84.34159851,
WD8AYE Canton,Analogue,147.12,147.72,25,OH,110.9,110.9,40.7989006,-81.37840271,SKYWARN
N8XPK Akron,Analogue,147.135,147.735,25,OH,,110.9,41.06850052,-81.55210114,
KE8FJX Paulding,Analogue,147.135,147.735,25,OH,,141.3,41.16519928,-84.59940338,
W8FT Findlay,Analogue,147.15,147.75,25,OH,88.5,88.5,41.0442009,-83.64990234,SKYWARN
KC8BED Elyria,Analogue,147.15,147.75,25,OH,110.9,110.9,41.36840057,-82.10769653,
KC8AAV Athens,Analogue,147.15,147.75,25,OH,,,39.32920074,-82.1013031,
N8BC Mentor,Analogue,147.165,147.765,25,OH,,110.9,41.66619873,-81.33959961,
W8XRN Xenia,Analogue,147.165,147.765,25,OH,123,123,39.672,-84.076167,SKYWARN
W8DZN Shelby,Analogue,147.165,147.765,25,OH,88.5,88.5,40.89179993,-82.75099945,
W8NP Massillon,Analogue,147.18,147.78,25,OH,110.9,110.9,40.79669952,-81.52149963,
KD8HIJ Circlevil,Analogue,147.18,147.78,25,OH,,74.4,39.619574,-82.87674,
K8TIH Bowling Gr,Analogue,147.18,147.78,25,OH,67,67,41.37480164,-83.65129852,
WD8LSN Wrightsvi,Analogue,147.18,147.78,25,OH,,118.8,38.70289993,-83.51210022,
K8BXQ Wauseon,Analogue,147.195,147.795,25,OH,103.5,103.5,41.54919815,-84.14160156,
NA8SA Cleveland,Analogue,147.195,147.795,25,OH,110.9,110.9,41.49950027,-81.69539642,
WB8VQV McConnels,Analogue,147.195,147.795,25,OH,,,39.64870071,-81.85320282,
W8DYY MIAMISBURG,Analogue,147.195,147.795,25,OH,,,39.64402,-84.304381,SKYWARN
N8BC Mentor,Analogue,147.21,147.81,25,OH,,110.9,41.66289902,-81.24729919,
K8DRE Columbus,Analogue,147.21,147.81,25,OH,82.5,82.5,39.96120071,-82.99880219,
K8HO Hillsboro,Analogue,147.21,147.81,25,OH,,100,39.20230103,-83.61160278,
KE8PX Upper Sand,Analogue,147.21,147.81,25,OH,,107.2,40.82730103,-83.28130341,
W8SWS Piqua,Analogue,147.21,147.81,25,OH,67,67,40.14479828,-84.24240112,
W8WOO Wooster,Analogue,147.21,147.81,25,OH,88.5,88.5,40.78138,-81.88757,SKYWARN
K8TII Napoleon,Analogue,147.225,147.825,25,OH,,,41.39229965,-84.12519836,
N8VPR Newton Fal,Analogue,147.225,147.825,25,OH,,,41.18840027,-80.97810364,
KC8QDQ Jacksonvi,Analogue,147.225,147.825,25,OH,,,39.47510147,-82.08180237,
KD8KID Troy,Analogue,147.24,147.84,25,OH,,,40.03950119,-84.20330048,
WD8MJS Copley,Analogue,147.24,147.84,25,OH,110.9,,41.13389969,-81.48459625,
WB8CSW Hannibal,Analogue,147.24,147.84,25,OH,,,39.66719818,-80.87180328,
W8VND Cincinnati,Analogue,147.24,147.84,25,OH,123,123,39.10309982,-84.51200104,
K8DRE Columbus,Analogue,147.24,147.84,25,OH,179.9,179.9,39.96120071,-82.99880219,
KA8OEB Salem,Analogue,147.255,147.855,25,OH,,156.7,40.90090179,-80.85679626,
WB8PHI Mentor,Analogue,147.255,147.855,25,OH,,,41.66619873,-81.33959961,
KC8RCI Republic,Analogue,147.255,147.855,25,OH,107.2,107.2,41.12200165,-83.01570129,
W8VPV Cuyahoga F,Analogue,147.27,147.87,25,OH,,110.9,41.13389969,-81.48459625,SKYWARN
N8EMZ Washington,Analogue,147.27,147.87,25,OH,,77,39.53639984,-83.43910217,
W8HHF Toledo,Analogue,147.27,147.87,25,OH,103.5,103.5,41.66389847,-83.55519867,SKYWARN
KE8RV London,Analogue,147.285,147.885,25,OH,82.5,82.5,39.88639832,-83.44819641,
K8LI Delta,Analogue,147.285,147.885,25,OH,103.5,103.5,41.57369995,-84.00520325,
KB8MFV Salem,Analogue,147.285,147.885,25,OH,,88.5,40.90090179,-80.85679626,
NC8OH Caldwell,Analogue,147.285,147.885,25,OH,91.5,91.5,39.7478981,-81.51650238,
W8HN Medina,Analogue,147.285,147.885,25,OH,110.9,110.9,41.14319992,-81.85520172,
W8HFZ Akron,Analogue,147.3,147.9,25,OH,,110.9,41.08140182,-81.51899719,
KF8WT Marion,Analogue,147.3,147.9,25,OH,,250.3,40.58869934,-83.12850189,
K8TII Napoleon,Analogue,147.315,147.915,25,OH,,,41.39229965,-84.12519836,
KI8JK Belpre,Analogue,147.315,147.915,25,OH,103.5,103.5,39.29150009,-81.65529633,
W8JEU Middletown,Analogue,147.315,147.915,25,OH,77,77,39.51509857,-84.39830017,
K8TKA New Spring,Analogue,147.315,147.915,25,OH,,156.7,40.93830109,-80.59030151,
W8NBA Pataskala,Analogue,147.33,147.93,25,OH,123,123,39.99560165,-82.67430115,
K8QYL Saint Mary,Analogue,147.33,147.93,25,OH,,107.2,40.5442009,-84.38999939,
W8CCI Hamilton,Analogue,147.33,147.93,25,OH,118.8,118.8,39.3995018,-84.56130219,
K8LGN Logan,Analogue,147.345,147.945,25,OH,114.8,114.8,39.5401001,-82.40709686,
W8AK Sidney,Analogue,147.345,147.945,25,OH,,107.2,40.28419876,-84.15550232,
WB8VPG Wooster,Analogue,147.345,147.945,25,OH,,110.9,40.80509949,-81.93509674,
WJ8E Toledo,Analogue,147.345,147.945,25,OH,107.2,107.2,41.66389847,-83.55519867,
W8MRC Owensville,Analogue,147.345,147.945,25,OH,123,123,39.12260056,-84.13580322,
W8WE Mansfield,Analogue,147.36,147.96,25,OH,71.9,71.9,40.75839996,-82.51540375,SKYWARN
KB8AAK Portsmout,Analogue,147.36,147.96,25,OH,,136.5,38.7317009,-82.99770355,
K8DZ Springboro,Analogue,147.36,147.96,25,OH,,77,39.568383,-84.164117,
W8DXA North Roya,Analogue,147.36,147.96,25,OH,,107.2,41.31370163,-81.72460175,
W8RZM Toledo,Analogue,147.375,147.975,25,OH,103.5,103.5,41.66389847,-83.55519867,
WB8UCD Urbana,Analogue,147.375,147.975,25,OH,100,100,40.10839844,-83.75240326,
WD8JZP Salem,Analogue,147.375,147.975,25,OH,110.9,110.9,40.9008923,-80.8567501,
N8YRF Marysville,Analogue,147.39,147.99,25,OH,,,40.23649979,-83.36710358,
W8WKY Doylestown,Analogue,147.39,147.99,25,OH,114.8,114.8,40.9701004,-81.69650269,
W8BHZ Conneaut,Analogue,147.39,147.99,25,OH,D047N,D047N,41.94760132,-80.55419922,
WB8OVQ Uniontown,Analogue,442,447,25,OH,,131.8,40.97510147,-81.40820313,
KB8CWC Blanchest,Analogue,442.025,447.025,25,OH,,,39.29309845,-83.98880005,
N8ZPS Kent,Analogue,442.025,447.025,25,OH,,131.8,41.15370178,-81.35790253,
N8IHP Van Wert,Analogue,442.025,447.025,25,OH,156.7,156.7,40.86949921,-84.58409882,
KE8SO Kettering,Analogue,442.0375,447.0375,25,OH,,,39.6895036,-84.1688274,
WB8ZQH Brook Par,Analogue,442.05,447.05,25,OH,,,41.3983838,-81.8045788,
WD8RVK Newark,Analogue,442.05,447.05,25,OH,,,40.05810165,-82.40129852,
N8QLA Washington,Analogue,442.075,447.075,25,OH,,77,39.53639984,-83.43910217,
W8BI Dayton,Analogue,442.1,447.1,25,OH,123,123,39.75889969,-84.19159698,
KB8MFV Salem,Analogue,442.1,447.1,25,OH,,88.5,40.90090179,-80.85679626,
W8UKE Athens,Analogue,442.1,447.1,25,OH,,,39.3292396,-82.1012554,
WX8CLE Highland,Analogue,442.125,447.125,25,OH,82.5,82.5,41.445481,-81.500501,SKYWARN
N8OWV Piqua,Analogue,442.125,447.125,25,OH,,123,40.14479828,-84.24240112,
WB8ZZR Wilmingto,Analogue,442.15,447.15,25,OH,,,39.44530106,-83.82849884,
WA8TJC Polk,Analogue,442.15,447.15,25,OH,88.5,88.5,40.94449997,-82.2154007,
K8BLP East Liver,Analogue,442.175,447.175,25,OH,,,40.61869812,-80.57730103,
N8ROA Roseville,Analogue,442.175,447.175,25,OH,91.5,91.5,39.80730057,-82.07129669,
KC8ONY Waynesbur,Analogue,442.2,447.2,25,OH,,,40.6678009,-81.25730133,
N1DJS Mount Orab,Analogue,442.2,447.2,25,OH,162.2,162.2,39.0275659,-83.919652,
KB8WLW Parma,Analogue,442.225,447.225,25,OH,,131.8,41.40480042,-81.72290039,
KB8ZMI Zanesvill,Analogue,442.25,447.25,25,OH,,91.5,39.94029999,-82.01319885,
K8VXH Oak Harbor,Analogue,442.25,447.25,25,OH,,100,41.50669861,-83.14659882,SKYWARN
KC8IBR Middlefie,Analogue,442.25,447.25,25,OH,,,41.4620018,-81.07369995,
KC8ZAB Gallipoli,Analogue,442.275,447.275,25,OH,74.4,74.4,38.80979919,-82.20240021,
KE8FJX Paulding,Analogue,442.275,447.275,25,OH,,141.3,41.16519928,-84.59940338,
WB8VSU Dayton,Analogue,442.3,447.3,25,OH,123,123,39.75889969,-84.19159698,
KB8EOC Bascom,Analogue,442.3,447.3,25,OH,,107.2,41.13270187,-83.28209686,SKYWARN
WC8RA West Chest,Analogue,442.325,447.325,25,OH,,123,39.34619904,-84.40920258,
W8LKY Alliance,Analogue,442.35,447.35,25,OH,131.8,131.8,40.9029007,-81.104599,
N3VGX Swanton,Analogue,442.3625,447.3625,25,OH,,103.5,41.58869934,-83.89109802,
K8FBN Fairborn,Analogue,442.375,447.375,25,OH,118.8,118.8,39.82089996,-84.01940155,
KC8LIN Chardon,Analogue,442.4,447.4,25,OH,131.8,131.8,41.579468,-81.21579,
AF1K Stow,Analogue,442.425,447.425,25,OH,,131.8,41.15950012,-81.44039917,
WE8N Franklin,Analogue,442.425,447.425,25,OH,,77,39.55889893,-84.30410004,
KI8CY Millbury,Analogue,442.425,447.425,25,OH,103.5,103.5,41.572812,-83.430941,
KB8WLW Parma,Analogue,442.45,447.45,25,OH,,,41.40480042,-81.72290039,
NV8E Miamisburg,Analogue,442.45,447.45,25,OH,,123,39.64279938,-84.28659821,
W8JSG Sidney,Analogue,442.475,447.475,25,OH,,,40.28419876,-84.15550232,
KB8SXJ Gahanna,Analogue,442.5,447.5,25,OH,82.5,82.5,40.01919937,-82.87930298,
KD8XB Lisbon,Analogue,442.525,447.525,25,OH,,162.2,40.77199936,-80.76809692,
N8CPI Richfield,Analogue,442.55,447.55,25,OH,131.8,131.8,41.2397995,-81.63819885,
